category	cell_type	cell_type_clean	file_num	mark	cell_type_clean2
Cardiovascular	BI.Fetal_Lung_peaks.bed	Fetal_lung	32	H3K4me1	Fetal lung
Hematopoietic	BI.Mobilized_CD34_Primary_Cells_peaks.bed	Mobilized_CD34_primary	33	H3K4me1	Mobilized CD34
Adrenal_Pancreas	BI.Pancreatic_Islets_peaks.bed	Pancreatic_islets	34	H3K4me1	Pancreatic islets
GI	BI.Rectal_Mucosa_peaks.bed	Rectal_mucosa	35	H3K4me1	Rectal mucosa
GI	BI.Rectal_Smooth_Muscle_peaks.bed	Rectal_smooth_muscle	36	H3K4me1	Rectal smooth muscle
SkeletalMuscle	BI.Skeletal_Muscle_peaks.bed	Skeletal_muscle	37	H3K4me1	Skeletal muscle
GI	BI.Stomach_Mucosa_peaks.bed	Stomach_mucosa	38	H3K4me1	Stomach mucosa
GI	BI.Stomach_Smooth_Muscle_peaks.bed	Stomach_smooth_muscle	39	H3K4me1	Stomach smooth muscle
Liver	UCSD.Adult_Liver_peaks.bed	Liver_(UCSD)	40	H3K4me1	Liver
GI	UCSD.Esophagus_peaks.bed	Esophagus	41	H3K4me1	Esophagus
GI	UCSD.Gastric_peaks.bed	Gastric	42	H3K4me1	Gastric
Cardiovascular	UCSD.Left_Ventricle_peaks.bed	Left_Ventricle	43	H3K4me1	Left Ventricle
Cardiovascular	UCSD.Lung_peaks.bed	Lung	44	H3K4me1	Lung
Other	UCSD.Ovary_peaks.bed	Ovary	45	H3K4me1	Ovary
Adrenal_Pancreas	UCSD.Pancreas_peaks.bed	Pancreas	46	H3K4me1	Pancreas
SkeletalMuscle	UCSD.Psoas_Muscle_peaks.bed	Psoas_muscle	47	H3K4me1	Psoas muscle
Cardiovascular	UCSD.Right_Atrium_peaks.bed	Right_atrium	48	H3K4me1	Right atrium
Cardiovascular	UCSD.Right_Ventricle_peaks.bed	Right_ventricle	49	H3K4me1	Right ventricle
GI	UCSD.Sigmoid_Colon_peaks.bed	Sigmoid_colon	50	H3K4me1	Sigmoid colon
GI	UCSD.Small_Intestine_peaks.bed	Small_intestine	51	H3K4me1	Small intestine
Hematopoietic	UCSD.Spleen_peaks.bed	Spleen	52	H3K4me1	Spleen
Hematopoietic	UCSD.Thymus_peaks.bed	Thymus	53	H3K4me1	Thymus
Hematopoietic	UW.Fetal_Thymus_peaks.bed	Fetal_thymus	54	H3K4me1	Fetal thymus
Connective_Bone	UCSF-UBC.Breast_Fibroblast_Primary_Cells_peaks.bed	Breast_fibroblast_primary	55	H3K4me1	Breast fibroblast
Other	UCSF-UBC.Breast_Luminal_Epithelial_Cells_peaks.bed	Breast_luminal_epithelial	56	H3K4me1	Breast luminal epithelial
Other	UCSF-UBC.Breast_Myoepithelial_Cells_peaks.bed	Breast_myoepithelial	57	H3K4me1	Breast myoepithelial
Other	UCSF-UBC.Breast_vHMEC_peaks.bed	Breast_vHMEC	58	H3K4me1	Breast vHMEC
Hematopoietic	UCSF-UBC.CD8_Naive_Primary_Cells_peaks.bed	CD8_naive_primary_(UCSF-UBC)	59	H3K4me1	CD8 naive
Adrenal_Pancreas	UCSF-UBC.Pancreatic_Islets_peaks.bed	Pancreatic_islets	60	H3K4me1	Pancreatic islets
Connective_Bone	UCSF-UBC.Penis_Foreskin_Fibroblast_Primary_Cells_peaks.bed	Penis_foreskin_fibroblast_primary	61	H3K4me1	Penis foreskin fibroblast
Other	UCSF-UBC.Penis_Foreskin_Keratinocyte_Primary_Cells_peaks.bed	Penis_foreskin_keratinocyte_primary	62	H3K4me1	Penis foreskin keratinocyte
Other	UCSF-UBC.Penis_Foreskin_Melanocyte_Primary_Cells_peaks.bed	Penis_foreskin_melanocyte_primary	63	H3K4me1	Penis foreskin melanocyte
Hematopoietic	UCSF-UBC.Peripheral_Blood_Mononuclear_Primary_Cells_peaks.bed	Peripheralblood_mononuclear_primary	64	H3K4me1	PBMC
Other	UCSF-UBC.Placenta_Amnion_peaks.bed	Placenta_amnion	65	H3K4me1	Placenta amnion
Other	UCSF-UBC.Placenta_Chorion_Smooth_peaks.bed	Placenta_chorion	66	H3K4me1	Placenta chorion
Hematopoietic	UW.CD14_Primary_Cells_peaks.bed	CD14_primary	67	H3K4me1	CD14
Hematopoietic	UW.CD19_Primary_Cells_peaks.bed	CD19_primary_(UW)	68	H3K4me1	CD19
Hematopoietic	UW.CD3_Primary_Cells_peaks.bed	CD3_primary_(UW)	69	H3K4me1	CD3
Hematopoietic	UW.CD56_Primary_Cells_peaks.bed	CD56_primary	70	H3K4me1	CD56
Adrenal_Pancreas	UW.Fetal_Adrenal_Gland_peaks.bed	Fetal_adrenal	71	H3K4me1	Fetal adrenal
GI	UW.Fetal_Intestine_Large_peaks.bed	Fetal_large_intestine	72	H3K4me1	Fetal large intestine
GI	UW.Fetal_Intestine_Small_peaks.bed	Fetal_small_intestine	73	H3K4me1	Fetal small intestine
SkeletalMuscle	UW.Fetal_Muscle_Leg_peaks.bed	Fetal_leg_muscle	74	H3K4me1	Fetal leg muscle
